Region,Province,Type_of_consumer,Year, User , KWh 
ภาคกลาง,กรุงเทพมหานคร,บ้านอยู่อาศัย,2558," 2,117,150 "," 9,233,605,858 "
ภาคกลาง,กรุงเทพมหานคร,บ้านอยู่อาศัย,2559," 2,179,084 "," 9,650,748,216 "
ภาคกลาง,กรุงเทพมหานคร,บ้านอยู่อาศัย,2560," 2,235,226 "," 9,625,237,972 "
ภาคกลาง,กรุงเทพมหานคร,บ้านอยู่อาศัย,2561," 2,272,163 "," 9,629,942,709 "
ภาคกลาง,กรุงเทพมหานคร,บ้านอยู่อาศัย,2562," 2,342,354 "," 10,364,812,123 "
ภาคกลาง,กรุงเทพมหานคร,บ้านอยู่อาศัย,2563," 2,526,275 "," 11,312,004,735 "
ภาคกลาง,กรุงเทพมหานคร,บ้านอยู่อาศัย,2564," 2,596,490 "," 11,287,289,475 "
ภาคกลาง,กรุงเทพมหานคร,บ้านอยู่อาศัย,2565," 2,637,636 "," 11,059,104,827 "
ภาคกลาง,กรุงเทพมหานคร,สถานีอัดประจุไฟฟ้า,2556, - , - 
ภาคกลาง,กรุงเทพมหานคร,สถานีอัดประจุไฟฟ้า,2557, - , - 
ภาคกลาง,กรุงเทพมหานคร,สถานีอัดประจุไฟฟ้า,2558, - , - 
ภาคกลาง,กรุงเทพมหานคร,สถานีอัดประจุไฟฟ้า,2559, - , - 
ภาคกลาง,กรุงเทพมหานคร,สถานีอัดประจุไฟฟ้า,2560, - , - 
ภาคกลาง,กรุงเทพมหานคร,สถานีอัดประจุไฟฟ้า,2561, 68 ," 43,172 "
ภาคกลาง,กรุงเทพมหานคร,สถานีอัดประจุไฟฟ้า,2562, 113 ," 39,606 "
ภาคกลาง,กรุงเทพมหานคร,สถานีอัดประจุไฟฟ้า,2563, 143 ," 75,068 "
ภาคกลาง,กรุงเทพมหานคร,สถานีอัดประจุไฟฟ้า,2564, 173 ," 449,288 "
ภาคกลาง,กรุงเทพมหานคร,สถานีอัดประจุไฟฟ้า,2565, 272 ," 10,510,796 "
ภาคกลาง,กรุงเทพมหานคร,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2556, 289 ," 93,100,894 "
ภาคกลาง,กรุงเทพมหานคร,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2557, 296 ," 94,559,728 "
ภาคกลาง,กรุงเทพมหานคร,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2558, 292 ," 106,787,637 "
ภาคกลาง,กรุงเทพมหานคร,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2559, 292 ," 122,594,095 "
ภาคกลาง,กรุงเทพมหานคร,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2560, 285 ," 128,985,365 "
ภาคกลาง,กรุงเทพมหานคร,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2561, 282 ," 128,026,511 "
ภาคกลาง,กรุงเทพมหานคร,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2562, 283 ," 131,730,855 "
ภาคกลาง,กรุงเทพมหานคร,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2563, 294 ," 130,722,595 "
ภาคกลาง,กรุงเทพมหานคร,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2564, 290 ," 127,931,603 "
ภาคกลาง,กรุงเทพมหานคร,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2565, 291 ," 135,953,711 "
ภาคกลาง,กรุงเทพมหานคร,ไฟชั่วคราว,2556," 15,783 "," 290,291,707 "
ภาคกลาง,กรุงเทพมหานคร,ไฟชั่วคราว,2557," 15,805 "," 294,107,801 "
ภาคกลาง,กรุงเทพมหานคร,ไฟชั่วคราว,2558," 16,152 "," 292,079,064 "
ภาคกลาง,กรุงเทพมหานคร,ไฟชั่วคราว,2559," 16,485 "," 294,307,945 "
ภาคกลาง,กรุงเทพมหานคร,ไฟชั่วคราว,2560," 16,863 "," 292,624,862 "
ภาคกลาง,กรุงเทพมหานคร,ไฟชั่วคราว,2561," 17,709 "," 302,184,746 "
ภาคกลาง,กรุงเทพมหานคร,ไฟชั่วคราว,2562," 18,086 "," 327,478,511 "
ภาคกลาง,กรุงเทพมหานคร,ไฟชั่วคราว,2563," 18,054 "," 322,111,631 "
ภาคกลาง,กรุงเทพมหานคร,ไฟชั่วคราว,2564," 18,485 "," 253,734,899 "
ภาคกลาง,กรุงเทพมหานคร,ไฟชั่วคราว,2565," 19,306 "," 260,218,705 "
ภาคกลาง,กรุงเทพมหานคร,ไฟสาธารณะ,2556, - ," 221,825,509 "
ภาคกลาง,กรุงเทพมหานคร,ไฟสาธารณะ,2557, - ," 228,763,000 "
ภาคกลาง,กรุงเทพมหานคร,ไฟสาธารณะ,2558, - ," 291,355,686 "
ภาคกลาง,กรุงเทพมหานคร,ไฟสาธารณะ,2559, - ," 314,633,665 "
ภาคกลาง,กรุงเทพมหานคร,ไฟสาธารณะ,2560, - ," 320,307,413 "
ภาคกลาง,กรุงเทพมหานคร,ไฟสาธารณะ,2561, - ," 326,299,851 "
ภาคกลาง,กรุงเทพมหานคร,ไฟสาธารณะ,2562, - ," 331,689,916 "
ภาคกลาง,กรุงเทพมหานคร,ไฟสาธารณะ,2563, - ," 337,749,629 "
ภาคกลาง,กรุงเทพมหานคร,ไฟสาธารณะ,2564, - ," 339,214,906 "
ภาคกลาง,กรุงเทพมหานคร,ไฟสาธารณะ,2565, - ," 340,548,981 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดกลาง,2556," 1,119 "," 243,579,550 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดกลาง,2557," 1,241 "," 255,667,976 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดกลาง,2558," 1,318 "," 282,371,299 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดกลาง,2559," 1,389 "," 299,502,517 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดกลาง,2560," 1,408 "," 311,069,434 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดกลาง,2561," 1,475 "," 319,866,862 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดกลาง,2562," 1,538 "," 332,571,799 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดกลาง,2563," 1,575 "," 332,844,841 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดกลาง,2564," 1,591 "," 332,711,108 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดกลาง,2565," 1,700 "," 363,267,168 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดเล็ก,2556," 18,774 "," 161,424,396 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดเล็ก,2557," 19,250 "," 168,363,495 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดเล็ก,2558," 19,967 "," 177,071,368 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดเล็ก,2559," 21,389 "," 185,925,361 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดเล็ก,2560," 22,405 "," 190,629,123 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดเล็ก,2561," 23,082 "," 192,023,802 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดเล็ก,2562," 23,578 "," 205,101,163 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดเล็ก,2563," 23,911 "," 207,694,781 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดเล็ก,2564," 24,847 "," 208,411,258 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดเล็ก,2565," 25,577 "," 216,009,134 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดใหญ่,2556, 61 ," 429,893,574 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดใหญ่,2557, 68 ," 491,545,988 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดใหญ่,2558, 67 ," 553,906,735 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดใหญ่,2559, 70 ," 579,218,525 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดใหญ่,2560, 75 ," 611,625,126 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดใหญ่,2561, 76 ," 704,549,431 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดใหญ่,2562, 80 ," 620,343,868 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดใหญ่,2563, 93 ," 544,803,463 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดใหญ่,2564, 93 ," 555,047,167 "
ภาคกลาง,กาญจนบุรี,กิจการขนาดใหญ่,2565, 92 ," 706,567,233 "
ภาคกลาง,กาญจนบุรี,กิจการเฉพาะอย่าง,2556, 137 ," 38,666,148 "
ภาคกลาง,กาญจนบุรี,กิจการเฉพาะอย่าง,2557, 148 ," 39,870,301 "
ภาคกลาง,กาญจนบุรี,กิจการเฉพาะอย่าง,2558, 171 ," 44,034,894 "
ภาคกลาง,กาญจนบุรี,กิจการเฉพาะอย่าง,2559, 201 ," 48,840,595 "
ภาคกลาง,กาญจนบุรี,กิจการเฉพาะอย่าง,2560, 213 ," 48,604,459 "
ภาคกลาง,กาญจนบุรี,กิจการเฉพาะอย่าง,2561, 224 ," 50,267,529 "
ภาคกลาง,กาญจนบุรี,กิจการเฉพาะอย่าง,2562, 227 ," 52,057,741 "
ภาคกลาง,กาญจนบุรี,กิจการเฉพาะอย่าง,2563, 231 ," 42,363,030 "
ภาคกลาง,กาญจนบุรี,กิจการเฉพาะอย่าง,2564, 230 ," 33,413,977 "
ภาคกลาง,กาญจนบุรี,กิจการเฉพาะอย่าง,2565, 243 ," 46,923,671 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2556," 101,672 "," 336,144,999 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2557," 109,183 "," 358,575,703 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2558," 117,137 "," 394,443,685 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2559," 123,904 "," 431,830,358 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2560," 129,317 "," 438,400,515 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2561," 132,399 "," 444,842,137 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2562," 139,743 "," 497,334,291 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2563," 149,250 "," 525,065,267 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2564," 158,855 "," 550,872,151 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2565," 158,818 "," 545,953,772 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2556," 122,628 "," 111,399,956 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2557," 122,552 "," 115,037,753 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2558," 122,206 "," 113,152,518 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2559," 122,109 "," 109,676,242 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2560," 122,717 "," 109,772,149 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2561," 124,229 "," 107,683,798 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2562," 122,633 "," 106,249,045 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2563," 119,231 "," 119,695,167 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2564," 115,581 "," 105,456,310 "
ภาคกลาง,กาญจนบุรี,บ้านอยู่อาศัย,2565," 119,835 "," 99,419,798 "
ภาคกลาง,กาญจนบุรี,สถานีอัดประจุไฟฟ้า,2556, - , - 
ภาคกลาง,กาญจนบุรี,สถานีอัดประจุไฟฟ้า,2557, - , - 
ภาคกลาง,กาญจนบุรี,สถานีอัดประจุไฟฟ้า,2558, - , - 
ภาคกลาง,กาญจนบุรี,สถานีอัดประจุไฟฟ้า,2559, - , - 
ภาคกลาง,กาญจนบุรี,สถานีอัดประจุไฟฟ้า,2560, - , - 
ภาคกลาง,กาญจนบุรี,สถานีอัดประจุไฟฟ้า,2561, - , - 
ภาคกลาง,กาญจนบุรี,สถานีอัดประจุไฟฟ้า,2562, - , - 
ภาคกลาง,กาญจนบุรี,สถานีอัดประจุไฟฟ้า,2563, - , - 
ภาคกลาง,กาญจนบุรี,สถานีอัดประจุไฟฟ้า,2564, 2 ," 9,708 "
ภาคกลาง,กาญจนบุรี,สถานีอัดประจุไฟฟ้า,2565, 2 ," 77,928 "
ภาคกลาง,กาญจนบุรี,สูบน้ำเพื่อการเกษตร,2556, 116 ," 7,826,431 "
ภาคกลาง,กาญจนบุรี,สูบน้ำเพื่อการเกษตร,2557, 131 ," 10,367,906 "
ภาคกลาง,กาญจนบุรี,สูบน้ำเพื่อการเกษตร,2558, 77 ," 10,989,522 "
ภาคกลาง,กาญจนบุรี,สูบน้ำเพื่อการเกษตร,2559, 87 ," 9,419,694 "
ภาคกลาง,กาญจนบุรี,สูบน้ำเพื่อการเกษตร,2560, 82 ," 8,644,403 "
ภาคกลาง,กาญจนบุรี,สูบน้ำเพื่อการเกษตร,2561, 95 ," 8,182,771 "
ภาคกลาง,กาญจนบุรี,สูบน้ำเพื่อการเกษตร,2562, 143 ," 13,035,327 "
ภาคกลาง,กาญจนบุรี,สูบน้ำเพื่อการเกษตร,2563, 99 ," 12,071,009 "
ภาคกลาง,กาญจนบุรี,สูบน้ำเพื่อการเกษตร,2564, 101 ," 8,785,480 "
ภาคกลาง,กาญจนบุรี,สูบน้ำเพื่อการเกษตร,2565, 106 ," 8,733,267 "
ภาคกลาง,กาญจนบุรี,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2556, 5 ," 255,358 "
ภาคกลาง,กาญจนบุรี,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2557, 4 ," 317,936 "
ภาคกลาง,กาญจนบุรี,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2558, 5 ," 326,302 "
ภาคกลาง,กาญจนบุรี,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2559, 7 ," 747,804 "
ภาคกลาง,กาญจนบุรี,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2560, 7 ," 1,035,028 "
ภาคกลาง,กาญจนบุรี,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2561, 7 ," 883,167 "
ภาคกลาง,กาญจนบุรี,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2562, 7 ," 853,169 "
ภาคกลาง,กาญจนบุรี,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2563, 7 ," 461,399 "
ภาคกลาง,กาญจนบุรี,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2564, 7 ," 357,474 "
ภาคกลาง,กาญจนบุรี,ส่วนราชการและองค์กรที่ไม่แสวงหากำไร,2565, 9 ," 358,246 "
ภาคกลาง,กาญจนบุรี,ไฟชั่วคราว,2556," 2,066 "," 7,737,910 "
ภาคกลาง,กาญจนบุรี,ไฟชั่วคราว,2557," 2,196 "," 7,142,618 "
ภาคกลาง,กาญจนบุรี,ไฟชั่วคราว,2558," 2,336 "," 6,659,510 "
ภาคกลาง,กาญจนบุรี,ไฟชั่วคราว,2559," 2,570 "," 9,416,379 "
ภาคกลาง,กาญจนบุรี,ไฟชั่วคราว,2560," 2,821 "," 8,877,051 "
ภาคกลาง,กาญจนบุรี,ไฟชั่วคราว,2561," 3,022 "," 8,186,573 "
ภาคกลาง,กาญจนบุรี,ไฟชั่วคราว,2562," 3,148 "," 8,478,823 "
ภาคกลาง,กาญจนบุรี,ไฟชั่วคราว,2563," 3,363 "," 8,593,033 "
ภาคกลาง,กาญจนบุรี,ไฟชั่วคราว,2564," 3,758 "," 8,825,837 "
ภาคกลาง,กาญจนบุรี,ไฟชั่วคราว,2565," 4,250 "," 11,786,401 "
ภาคกลาง,กาญจนบุรี,ไฟที่สามารถงดจ่ายไฟฟ้าได้,2556, - , - 
ภาคกลาง,กาญจนบุรี,ไฟที่สามารถงดจ่ายไฟฟ้าได้,2557, - , - 
ภาคกลาง,กาญจนบุรี,ไฟที่สามารถงดจ่ายไฟฟ้าได้,2558, - , - 
ภาคกลาง,กาญจนบุรี,ไฟที่สามารถงดจ่ายไฟฟ้าได้,2559, - , - 
ภาคกลาง,กาญจนบุรี,ไฟที่สามารถงดจ่ายไฟฟ้าได้,2560, - , - 
ภาคกลาง,กาญจนบุรี,ไฟที่สามารถงดจ่ายไฟฟ้าได้,2561, - , - 
ภาคกลาง,กาญจนบุรี,ไฟที่สามารถงดจ่ายไฟฟ้าได้,2562, - , - 
ภาคกลาง,กาญจนบุรี,ไฟที่สามารถงดจ่ายไฟฟ้าได้,2563, - , - 
ภาคกลาง,กาญจนบุรี,ไฟที่สามารถงดจ่ายไฟฟ้าได้,2564, - , - 
ภาคกลาง,กาญจนบุรี,ไฟที่สามารถงดจ่ายไฟฟ้าได้,2565, - , - 
ภาคกลาง,กาญจนบุรี,ไฟสำรอง,2556, - , - 
ภาคกลาง,กาญจนบุรี,ไฟสำรอง,2557, - , - 
ภาคกลาง,กาญจนบุรี,ไฟสำรอง,2558, - , - 
ภาคกลาง,กาญจนบุรี,ไฟสำรอง,2559, - , - 
ภาคกลาง,กาญจนบุรี,ไฟสำรอง,2560, - , - 
ภาคกลาง,กาญจนบุรี,ไฟสำรอง,2561, - , - 
ภาคกลาง,กาญจนบุรี,ไฟสำรอง,2562, - , - 
ภาคกลาง,กาญจนบุรี,ไฟสำรอง,2563, - , - 
ภาคกลาง,กาญจนบุรี,ไฟสำรอง,2564, - , - 
ภาคกลาง,กาญจนบุรี,ไฟสำรอง,2565, - , - 
ภาคกลาง,จันทบุรี,กิจการขนาดกลาง,2556, 901 ," 227,233,261 "
ภาคกลาง,จันทบุรี,กิจการขนาดกลาง,2557, 948 ," 236,113,428 "
ภาคกลาง,จันทบุรี,กิจการขนาดกลาง,2558, 961 ," 234,832,604 "
ภาคกลาง,จันทบุรี,กิจการขนาดกลาง,2559," 1,012 "," 238,084,409 "
ภาคกลาง,จันทบุรี,กิจการขนาดกลาง,2560," 1,066 "," 247,293,518 "
ภาคกลาง,จันทบุรี,กิจการขนาดกลาง,2561," 1,080 "," 242,746,142 "
ภาคกลาง,จันทบุรี,กิจการขนาดกลาง,2562," 1,140 "," 255,224,757 "
ภาคกลาง,จันทบุรี,กิจการขนาดกลาง,2563," 1,238 "," 234,070,531 "
ภาคกลาง,จันทบุรี,กิจการขนาดกลาง,2564," 1,369 "," 236,267,092 "
ภาคกลาง,จันทบุรี,กิจการขนาดกลาง,2565," 1,346 "," 241,944,634 "
ภาคกลาง,จันทบุรี,กิจการขนาดเล็ก,2556," 16,401 "," 146,079,892 "
ภาคกลาง,จันทบุรี,กิจการขนาดเล็ก,2557," 17,840 "," 150,576,011 "
ภาคกลาง,จันทบุรี,กิจการขนาดเล็ก,2558," 18,500 "," 157,909,028 "
ภาคกลาง,จันทบุรี,กิจการขนาดเล็ก,2559," 19,364 "," 165,712,711 "
ภาคกลาง,จันทบุรี,กิจการขนาดเล็ก,2560," 19,955 "," 168,473,239 "
ภาคกลาง,จันทบุรี,กิจการขนาดเล็ก,2561," 20,337 "," 165,742,573 "
ภาคกลาง,จันทบุรี,กิจการขนาดเล็ก,2562," 20,624 "," 181,091,018 "
ภาคกลาง,จันทบุรี,กิจการขนาดเล็ก,2563," 21,824 "," 183,147,684 "
ภาคกลาง,จันทบุรี,กิจการขนาดเล็ก,2564," 24,683 "," 182,637,901 "
ภาคกลาง,จันทบุรี,กิจการขนาดเล็ก,2565," 28,462 "," 193,374,018 "
ภาคกลาง,จันทบุรี,กิจการขนาดใหญ่,2556, 48 ," 197,478,716 "
ภาคกลาง,จันทบุรี,กิจการขนาดใหญ่,2557, 50 ," 203,408,923 "
ภาคกลาง,จันทบุรี,กิจการขนาดใหญ่,2558, 50 ," 214,619,573 "
ภาคกลาง,จันทบุรี,กิจการขนาดใหญ่,2559, 52 ," 233,455,360 "
ภาคกลาง,จันทบุรี,กิจการขนาดใหญ่,2560, 56 ," 235,372,075 "
ภาคกลาง,จันทบุรี,กิจการขนาดใหญ่,2561, 59 ," 238,123,932 "
ภาคกลาง,จันทบุรี,กิจการขนาดใหญ่,2562, 58 ," 242,521,274 "
ภาคกลาง,จันทบุรี,กิจการขนาดใหญ่,2563, 61 ," 241,186,973 "
ภาคกลาง,จันทบุรี,กิจการขนาดใหญ่,2564, 59 ," 238,799,003 "
ภาคกลาง,จันทบุรี,กิจการขนาดใหญ่,2565, 59 ," 253,066,385 "
ภาคกลาง,จันทบุรี,กิจการเฉพาะอย่าง,2556, 84 ," 17,418,005 "
ภาคกลาง,จันทบุรี,กิจการเฉพาะอย่าง,2557, 101 ," 18,983,195 "
ภาคกลาง,จันทบุรี,กิจการเฉพาะอย่าง,2558, 114 ," 21,963,566 "
ภาคกลาง,จันทบุรี,กิจการเฉพาะอย่าง,2559, 137 ," 25,363,352 "
ภาคกลาง,จันทบุรี,กิจการเฉพาะอย่าง,2560, 147 ," 26,644,645 "
ภาคกลาง,จันทบุรี,กิจการเฉพาะอย่าง,2561, 151 ," 27,666,933 "
ภาคกลาง,จันทบุรี,กิจการเฉพาะอย่าง,2562, 169 ," 30,837,638 "
ภาคกลาง,จันทบุรี,กิจการเฉพาะอย่าง,2563, 175 ," 25,493,558 "
ภาคกลาง,จันทบุรี,กิจการเฉพาะอย่าง,2564, 168 ," 19,990,969 "
ภาคกลาง,จันทบุรี,กิจการเฉพาะอย่าง,2565, 182 ," 28,454,427 "
ภาคกลาง,จันทบุรี,บ้านอยู่อาศัย,2556," 94,474 "," 325,569,253 "
ภาคกลาง,จันทบุรี,บ้านอยู่อาศัย,2557," 100,245 "," 347,423,370 "
ภาคกลาง,จันทบุรี,บ้านอยู่อาศัย,2558," 107,197 "," 379,075,242 "
ภาคกลาง,จันทบุรี,บ้านอยู่อาศัย,2559," 113,385 "," 416,716,291 "
ภาคกลาง,จันทบุรี,บ้านอยู่อาศัย,2560," 120,289 "," 420,500,657 "
ภาคกลาง,จันทบุรี,บ้านอยู่อาศัย,2561," 124,744 "," 428,953,247 "
ภาคกลาง,จันทบุรี,บ้านอยู่อาศัย,2562," 132,021 "," 501,753,550 "
ภาคกลาง,จันทบุรี,บ้านอยู่อาศัย,2563," 141,268 "," 535,765,883 "
ภาคกลาง,จันทบุรี,บ้านอยู่อาศัย,2564," 149,766 "," 543,462,226 "
ภาคกลาง,จันทบุรี,บ้านอยู่อาศัย,2565," 150,321 "," 545,537,887 "
ภาคกลาง,จันทบุรี,บ้านอยู่อาศัย,2556," 98,514 "," 83,921,034 "
ภาคกลาง,จันทบุรี,บ้านอยู่อาศัย,2557," 98,657 "," 85,202,913 "
ภาคกลาง,จันทบุรี,บ้านอยู่อาศัย,2558," 97,470 "," 84,425,484 "
